kernel,dtype,head_dim,total_rows,time_ms,throughput_GB_s
v1_butterfly,fp16,64,4096,0.013094,80.078
v2_wmma,fp16,64,4096,0.015647,67.016
best_auto,fp16,64,4096,0.012956,80.935
step_had_int4,fp16,64,4096,0.023183,74.205
fused_had_int4,fp16,64,4096,0.020613,32.588
step_had_fp8,fp16,64,4096,0.024617,75.208
fused_had_fp8,fp16,64,4096,0.020541,39.083
v1_butterfly,fp16,64,16384,0.035426,118.395
v2_wmma,fp16,64,16384,0.043870,95.607
best_auto,fp16,64,16384,0.035448,118.324
step_had_int4,fp16,64,16384,0.074650,92.181
fused_had_int4,fp16,64,16384,0.052122,51.552
step_had_fp8,fp16,64,16384,0.058724,126.108
fused_had_fp8,fp16,64,16384,0.048794,65.813
v1_butterfly,fp16,64,65536,0.093430,179.569
v2_wmma,fp16,64,65536,0.115393,145.392
best_auto,fp16,64,65536,0.093147,180.116
step_had_int4,fp16,64,65536,0.205353,134.038
fused_had_int4,fp16,64,65536,0.198410,54.170
step_had_fp8,fp16,64,65536,0.221674,133.630
fused_had_fp8,fp16,64,65536,0.179343,71.623
v1_butterfly,fp16,128,4096,0.016638,126.045
v2_wmma,fp16,128,4096,0.023180,90.471
best_auto,fp16,128,4096,0.014076,148.986
step_had_int4,fp16,128,4096,0.029798,114.914
fused_had_int4,fp16,128,4096,0.018422,72.040
step_had_fp8,fp16,128,4096,0.027535,133.879
fused_had_fp8,fp16,128,4096,0.022354,71.095
v1_butterfly,fp16,128,16384,0.029910,280.464
v2_wmma,fp16,128,16384,0.066649,125.862
best_auto,fp16,128,16384,0.029585,283.546
step_had_int4,fp16,128,16384,0.056986,240.359
fused_had_int4,fp16,128,16384,0.065229,81.381
step_had_fp8,fp16,128,16384,0.057006,258.667
fused_had_fp8,fp16,128,16384,0.074669,85.136
v1_butterfly,fp16,128,65536,0.116732,287.448
v2_wmma,fp16,128,65536,0.247268,135.701
best_auto,fp16,128,65536,0.116559,287.874
step_had_int4,fp16,128,65536,0.185135,295.935
fused_had_int4,fp16,128,65536,0.252366,84.138
step_had_fp8,fp16,128,65536,0.213535,276.219
fused_had_fp8,fp16,128,65536,0.289597,87.805
v1_butterfly,fp16,256,4096,0.021259,197.297
v2_wmma,fp16,256,4096,0.042656,98.328
best_auto,fp16,256,4096,0.020745,202.181
step_had_int4,fp16,256,4096,0.030085,227.093
fused_had_int4,fp16,256,4096,0.036157,72.954
step_had_fp8,fp16,256,4096,0.033690,218.359
fused_had_fp8,fp16,256,4096,0.041063,77.007
v1_butterfly,fp16,256,16384,0.064820,258.830
v2_wmma,fp16,256,16384,0.143090,117.250
best_auto,fp16,256,16384,0.064698,259.316
step_had_int4,fp16,256,16384,0.103014,265.288
fused_had_int4,fp16,256,16384,0.136335,77.392
step_had_fp8,fp16,256,16384,0.117165,251.146
fused_had_fp8,fp16,256,16384,0.155606,81.285
v1_butterfly,fp16,256,65536,0.295891,226.803
v2_wmma,fp16,256,65536,0.622284,107.843
best_auto,fp16,256,65536,0.293964,228.289
step_had_int4,fp16,256,65536,0.481185,227.177
fused_had_int4,fp16,256,65536,0.549868,76.755
step_had_fp8,fp16,256,65536,0.538931,218.400
fused_had_fp8,fp16,256,65536,0.625060,80.942
v1_butterfly,bf16,64,4096,0.013116,79.947
v2_wmma,bf16,64,4096,0.014918,70.289
best_auto,bf16,64,4096,0.013103,80.025
step_had_int4,bf16,64,4096,0.017469,98.476
fused_had_int4,bf16,64,4096,0.015370,43.704
step_had_fp8,bf16,64,4096,0.023593,78.472
fused_had_fp8,bf16,64,4096,0.016026,50.096
v1_butterfly,bf16,64,16384,0.028068,149.435
v2_wmma,bf16,64,16384,0.035409,118.452
best_auto,bf16,64,16384,0.027477,152.645
step_had_int4,bf16,64,16384,0.058788,117.053
fused_had_int4,bf16,64,16384,0.052132,51.542
step_had_fp8,bf16,64,16384,0.058952,125.621
fused_had_fp8,bf16,64,16384,0.048998,65.538
v1_butterfly,bf16,64,65536,0.093322,179.778
v2_wmma,bf16,64,65536,0.118344,141.766
best_auto,bf16,64,65536,0.093539,179.361
step_had_int4,bf16,64,65536,0.206234,133.466
fused_had_int4,bf16,64,65536,0.199393,53.903
step_had_fp8,bf16,64,65536,0.221388,133.802
fused_had_fp8,bf16,64,65536,0.179354,71.619
v1_butterfly,bf16,128,4096,0.017368,120.746
v2_wmma,bf16,128,4096,0.024931,84.118
best_auto,bf16,128,4096,0.013680,153.304
step_had_int4,bf16,128,4096,0.016239,210.862
fused_had_int4,bf16,128,4096,0.018360,72.281
step_had_fp8,bf16,128,4096,0.018043,204.313
fused_had_fp8,bf16,128,4096,0.020982,75.742
v1_butterfly,bf16,128,16384,0.030873,271.711
v2_wmma,bf16,128,16384,0.067841,123.652
best_auto,bf16,128,16384,0.029727,282.185
step_had_int4,bf16,128,16384,0.049992,273.986
fused_had_int4,bf16,128,16384,0.065382,81.190
step_had_fp8,bf16,128,16384,0.057180,257.880
fused_had_fp8,bf16,128,16384,0.074916,84.855
v1_butterfly,bf16,128,65536,0.116020,289.211
v2_wmma,bf16,128,65536,0.251268,133.540
best_auto,bf16,128,65536,0.114420,293.255
step_had_int4,bf16,128,65536,0.185170,295.880
fused_had_int4,bf16,128,65536,0.253041,83.914
step_had_fp8,bf16,128,65536,0.214211,275.348
fused_had_fp8,bf16,128,65536,0.290668,87.481
v1_butterfly,bf16,256,4096,0.020717,202.456
v2_wmma,bf16,256,4096,0.043764,95.839
best_auto,bf16,256,4096,0.020237,207.258
step_had_int4,bf16,256,4096,0.034130,200.180
fused_had_int4,bf16,256,4096,0.036277,72.713
step_had_fp8,bf16,256,4096,0.033105,222.217
fused_had_fp8,bf16,256,4096,0.041257,76.644
v1_butterfly,bf16,256,16384,0.065149,257.519
v2_wmma,bf16,256,16384,0.147051,114.091
best_auto,bf16,256,16384,0.065043,257.942
step_had_int4,bf16,256,16384,0.103002,265.320
fused_had_int4,bf16,256,16384,0.136745,77.160
step_had_fp8,bf16,256,16384,0.117658,250.096
fused_had_fp8,bf16,256,16384,0.156283,80.933
v1_butterfly,bf16,256,65536,0.294817,227.629
v2_wmma,bf16,256,65536,0.633479,105.937
best_auto,bf16,256,65536,0.293751,228.455
step_had_int4,bf16,256,65536,0.481260,227.142
fused_had_int4,bf16,256,65536,0.551413,76.540
step_had_fp8,bf16,256,65536,0.539747,218.070
fused_had_fp8,bf16,256,65536,0.627842,80.584
